,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,el playon,7.47,-73.2,295.46,73,100,2.27,CO,1602905730
89,guaitarilla,1.14,-77.55,283.91,87,81,3.18,CO,1602905731
90,la macarena,2.18,-73.78,294.99,97,42,0.94,CO,1602905731
91,marsella,43.3,5.38,280.15,93,0,3.1,FR,1602905731
92,ospina,1.06,-77.57,282.06,93,85,3.14,CO,1602905731
93,puerto colombia,10.99,-74.95,302.15,83,40,4.6,CO,1602905731
94,salamina,37.96,23.5,296.48,94,20,2.33,GR,1602905732
95,san sebastian,43.31,-1.98,280.93,93,76,1.5,ES,1602905568
96,suarez,2.95,-76.7,292.73,81,90,0.98,CO,1602905732
97,turbana,10.27,-75.44,298.94,91,30,3.25,CO,1602905732
98,alajuela,10.02,-84.22,294.15,94,59,1,CR,1602905607
99,san juan,-31.54,-68.54,296.18,41,0,3.48,AR,1602905733
100,guaimaro,21.05,-77.35,299.15,94,6,3.1,CU,1602905733
101,yara,20.28,-76.95,297.27,92,97,1.25,CU,1602905733
102,breznice,49.56,13.95,278.71,99,100,2.62,CZ,1602905733
103,dolni bousov,50.44,15.13,277.04,93,100,4.02,CZ,1602905734
104,jablonne v podjestedi,50.77,14.76,279.82,97,100,2.37,CZ,1602905734
105,kvasice,49.24,17.47,279.82,93,100,4.43,CZ,1602905734
106,most,50.5,13.64,279.82,94,100,1.1,CZ,1602905734
107,polesovice,49.03,17.34,279.82,93,100,4.78,CZ,1602905735
108,sokolov,50.18,12.64,278.15,93,75,1.5,CZ,1602905735
109,uvaly,50.07,14.73,280.93,87,75,2.6,CZ,1602905735
110,zlate hory,50.26,17.4,278.15,76,100,0.89,CZ,1602905735
111,baden-baden,48.75,8.25,280.15,87,19,2.1,DE,1602905736
112,bedburg,50.99,6.57,280.37,93,75,1.5,DE,1602905736
113,brilon,51.4,8.58,280.37,86,40,0.57,DE,1602905526
114,diez,50.37,8.02,276.48,94,1,1.05,DE,1602905736
115,ennigerloh,51.83,8.02,280.37,91,99,0.11,DE,1602905736
116,fulda,50.55,9.68,278.71,97,99,1.8,DE,1602905737
117,grevesmuhlen,53.87,11.18,280.93,94,93,4.32,DE,1602905737
118,herbrechtingen,48.62,10.18,278.15,96,60,0.45,DE,1602905737
119,isny,47.7,10.03,278.71,97,98,0.81,DE,1602905737
120,kronberg,50.18,8.51,281.15,81,33,1.5,DE,1602905738
121,lindenberg,49.38,8.1,280.37,94,43,1.83,DE,1602905738
122,memmingen,47.98,10.19,278.15,93,99,1.5,DE,1602905738
123,neumunster,54.07,9.98,280.93,98,94,2.44,DE,1602905738
124,osterhofen,48.7,13.02,279.26,90,100,1.61,DE,1602905739
125,recke,52.38,7.72,280.15,93,40,2.14,DE,1602905739
126,sankt leon-rot,49.27,8.62,279.82,94,50,1.4,DE,1602905739
127,sigmaringen,48.08,9.22,279.82,100,96,0.87,DE,1602905739
128,tholey,49.48,7.04,279.26,94,16,1.6,DE,1602905740
129,waldkirchen,48.73,13.6,278.71,86,100,1.07,DE,1602905740
130,winnenden,48.88,9.4,279.82,92,58,0.65,DE,1602905740
131,borkop,55.64,9.65,281.15,93,34,2.1,DK,1602905740
132,herning,56.14,8.97,280.37,93,83,0.5,DK,1602905741
133,nibe,56.98,9.64,278.15,87,0,0.45,DK,1602905741
134,stige,55.44,10.41,283.15,81,0,4.6,DK,1602905741
135,alausi,-2.2,-78.83,281.74,88,96,2.56,EC,1602905741
136,puerto ayora,-0.74,-90.35,293.71,94,96,2.24,EC,1602905742
137,kambja,58.23,26.7,277.04,93,100,2.1,EE,1602905742
138,puurmani,58.57,26.29,277.04,88,87,1.51,EE,1602905742
139,abnub,27.27,31.15,295.15,68,0,5.1,EG,1602905742
140,algete,40.6,-3.5,280.37,80,51,2.6,ES,1602905743
141,bullas,38.05,-1.67,285.93,66,13,0.45,ES,1602905743
142,erandio,43.31,-2.94,282.04,93,89,1,ES,1602905743
143,laviana,43.23,-5.53,285.37,78,100,2.55,ES,1602905743
144,nerja,36.76,-3.89,287.04,68,22,1.3,ES,1602905743
145,sanlucar la mayor,37.39,-6.2,285.37,86,0,1.05,ES,1602905744
146,valdemoro,40.19,-3.68,282.59,70,48,0.67,ES,1602905744
147,gambela,8.25,34.58,294.01,88,66,1.84,ET,1602905744
148,jarvenpaa,60.47,25.09,271.15,92,0,1,FI,1602905744
149,valkeakoski,61.26,24.03,276.48,93,90,4.1,FI,1602905745
150,auch,43.65,0.58,280.37,99,24,0.78,FR,1602905745
151,briancon,44.9,6.65,279.26,73,3,1.34,FR,1602905745
152,cholet,47.17,-1,283.15,81,90,2.1,FR,1602905745
153,etaples,50.52,1.63,282.15,76,90,1.5,FR,1602905746
154,hayange,49.33,6.05,281.48,87,85,0.45,FR,1602905746
155,le mee-sur-seine,48.53,2.63,282.59,87,90,1.5,FR,1602905746
156,maubeuge,50.28,3.97,278.71,97,91,1.91,FR,1602905746
157,nogent-le-rotrou,48.33,1,279.15,87,43,1.5,FR,1602905747
158,ramonville-saint-agne,43.55,1.47,278.15,93,0,1.5,FR,1602905747
159,saint-malo,48.5,-1.83,282.15,87,90,2.1,FR,1602905747
160,taverny,49.03,2.22,282.59,87,90,1.38,FR,1602905747
161,villeurbanne,45.77,4.88,283.15,87,90,3.6,FR,1602905747
162,almondbank,56.42,-3.52,280.93,91,45,1.55,GB,1602905748
163,bishopbriggs,55.91,-4.22,281.48,87,90,1.5,GB,1602905659
164,carnwath,55.7,-3.63,281.48,81,90,4.1,GB,1602905748
165,dalry,55.68,-4.72,282.15,81,75,2.6,GB,1602905748
166,farnworth,53.55,-2.4,281.48,75,14,1.79,GB,1602905749
167,hawick,55.42,-2.79,280.37,13,100,2.6,GB,1602905749
168,kingsteignton,50.55,-3.58,282.59,87,79,4.23,GB,1602905749
169,loughton,52.03,-0.79,282.59,98,82,2.68,GB,1602905749
170,northam,51.03,-4.22,282.59,83,1,1.34,GB,1602905749
171,rochdale,53.62,-2.16,281.48,96,52,2.12,GB,1602905528
172,stonehouse,51.75,-2.28,282.04,92,90,0.89,GB,1602905750
173,welwyn garden city,51.8,-0.21,282.59,93,90,3.1,GB,1602905750
174,kojori,41.66,44.7,285.15,87,0,3.6,GE,1602905750
175,ejura,7.39,-1.36,295.3,98,93,1.81,GH,1602905751
176,kuntaur,13.67,-14.88,298.48,80,51,2.2,GM,1602905751
177,luba,3.46,8.55,298.15,100,20,1.5,GQ,1602905751
178,ano komi,40.23,21.83,286.15,54,85,3.1,GR,1602905751
179,ayia marina,37.75,23.53,296.48,88,57,3.2,GR,1602905752
180,ioannina,39.67,20.85,282.59,100,100,0.56,GR,1602905589
181,karitsa,40.19,22.48,290.37,95,99,0.45,GR,1602905752
182,khrisokhorafa,41.18,23.23,290.37,77,98,0.89,GR,1602905752
183,marathon,44.9,-89.77,272.59,92,40,1.5,US,1602905753
184,oinoi,38.32,23.61,294.26,91,77,0.45,GR,1602905753
185,perama,37.98,23.58,296.48,94,20,1.76,GR,1602905753
186,psikhikon,41,23.63,292.04,77,100,0.89,GR,1602905754
187,vamvakofiton,41.18,23.4,290.37,77,99,0.89,GR,1602905754
188,el tumbador,14.87,-91.93,292.04,95,100,2.03,GT,1602905754
189,panzos,15.4,-89.67,296.49,87,100,1.06,GT,1602905755
190,san juan cotzal,15.43,-91.03,287.6,100,100,1.51,GT,1602905755
191,sibinal,15.13,-92.05,292.04,95,100,2.2,GT,1602905755
192,antigua ocotepeque,14.4,-89.2,293.98,88,100,2.41,HN,1602905755
193,danli,14.03,-86.58,293.15,100,75,2.6,HN,1602905755
194,el zapote,21.07,-102.8,289.61,71,5,5.22,MX,1602905756
195,la mina,15.32,-87.83,297.04,95,100,0.88,HN,1602905756
196,nuevo chamelecon,15.38,-88.02,297.04,95,100,1.09,HN,1602905756
197,san buenaventura,27.08,-101.53,291.48,57,25,2.16,MX,1602905756
198,santiago de puringla,14.36,-87.9,291.68,94,100,1.9,HN,1602905756
199,koprivnica,46.16,16.83,279.26,99,99,1.61,HR,1602905757
200,abasar,47.8,20,280.93,100,90,2.6,HU,1602905757
201,bekecs,48.15,21.18,281.15,100,90,1,HU,1602905757
202,csongrad,46.71,20.14,280.37,100,90,3.1,HU,1602905757
203,felsoszentivan,46.2,19.19,281.33,78,100,3.99,HU,1602905757
204,kesztolc,47.71,18.8,280.93,93,100,1.73,HU,1602905758
