,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
389,san fernando,15.03,120.69,303.15,70,75,2.1,PH,1602905615
390,san jose,37.34,-121.89,299.26,27,40,2.1,US,1602905592
391,san nicolas,18.17,120.6,306.15,55,75,2.6,PH,1602905800
392,santa catalina norte,13.87,121.36,302.59,79,61,1.34,PH,1602905801
393,santa teresita,13.87,120.98,302.59,79,57,1.34,PH,1602905801
394,sasmuan,14.94,120.62,303.15,70,75,2.1,PH,1602905801
395,solano,38.23,-121.95,298.71,26,1,2.1,US,1602905801
396,tacligan,13.4,121.06,302.59,79,45,1.34,PH,1602905802
397,taltal,-25.4,-70.48,288.87,64,3,1.7,CL,1602905802
398,tayug,16.03,120.74,304.54,61,78,2.43,PH,1602905802
399,tombod,15.95,120.55,304.2,67,67,1.72,PH,1602905802
400,ahmadpur sial,30.68,71.75,294.15,52,0,2.28,PK,1602905803
401,diplo,24.47,69.58,307.87,25,47,6.12,PK,1602905803
402,kambar,27.59,68,304.74,11,18,1.99,PK,1602905518
403,mirpur khas,25.53,69.02,306.35,12,0,4.65,PK,1602905803
404,bielsk podlaski,52.77,23.19,279.26,89,97,1.34,PL,1602905804
405,gostyn,51.88,17.01,280.37,96,100,0.89,PL,1602905804
406,laziska gorne,50.15,18.84,279.26,95,100,0.45,PL,1602905804
407,olkusz,50.28,19.57,279.15,100,75,2.6,PL,1602905804
408,siedlce,52.17,22.29,279.26,92,100,4.69,PL,1602905804
409,wabrzezno,53.28,18.95,279.82,81,75,3.1,PL,1602905805
410,aldeia de paio pires,38.62,-9.08,286.48,93,97,0.5,PT,1602905805
411,caldas de vizela,41.38,-8.31,284.26,87,100,4.1,PT,1602905805
412,freamunde,41.29,-8.34,284.26,87,100,4.1,PT,1602905805
413,monchique,37.32,-8.56,284.15,71,10,1.5,PT,1602905806
414,real,14.66,121.6,302.59,79,75,3.6,PH,1602905806
415,souto da carpalhosa,39.85,-8.82,284.82,93,100,2.1,PT,1602905806
416,caapucu,-26.22,-57.2,295.54,78,1,1.96,PY,1602905806
417,nueva colombia,-25.18,-57.35,297.15,78,34,2.78,PY,1602905806
418,umm bab,25.21,50.81,300.93,78,1,2.1,QA,1602905807
419,amara,31.84,47.14,296.29,22,0,2.48,IQ,1602905807
420,baia de arama,45,22.81,282.84,82,76,2.08,RO,1602905807
421,barcani,45.7,26.08,284.26,10,100,5.36,RO,1602905807
422,biled,45.89,20.96,278.15,100,20,1,RO,1602905808
423,botosana,47.68,25.95,283.15,100,90,3.6,RO,1602905808
424,bucosnita,45.3,22.27,283.11,86,100,1.36,RO,1602905808
425,campia turzii,46.55,23.88,284.26,87,75,2.6,RO,1602905808
426,cernesti,47.52,23.75,283.15,100,100,1,RO,1602905808
427,ciumeghiu,46.73,21.58,280.37,93,58,3.1,RO,1602905809
428,corod,45.9,27.62,287.86,85,100,2.65,RO,1602905809
429,cuci,46.47,24.15,284.26,93,82,1.5,RO,1602905809
430,doba,8.65,16.85,293.88,90,47,1.36,TD,1602905809
431,duda,46.75,28.04,286.15,100,75,2.6,RO,1602905809
432,floresti,47.89,28.3,286.95,94,100,1.8,MD,1602905809
433,gheorghe lazar,44.63,27.45,289.26,93,75,3.1,RO,1602905810
434,granicesti,47.82,26.07,283.15,100,90,3.6,RO,1602905810
435,horgesti,46.43,27.07,285.37,100,40,1.5,RO,1602905810
436,izvoarele,45.03,25.27,283.15,80,99,0.99,RO,1602905811
437,lisa,43.8,25.13,287.59,97,100,2.27,RO,1602905811
438,mahmudia,45.08,29.08,287.15,100,86,2.1,RO,1602905811
439,mesesenii de jos,47.15,22.98,284.26,93,100,3.6,RO,1602905811
440,moroeni,45.22,25.43,284.26,80,100,0.89,RO,1602905811
441,nucet,44.78,25.55,287.15,100,40,2.6,RO,1602905812
442,pades,45.02,22.85,282.97,80,75,1.84,RO,1602905812
443,petrosani,45.42,23.37,283.15,93,89,1.5,RO,1602905812
444,pomezeu,46.78,22.28,280.37,93,99,3.1,RO,1602905812
445,ramna,45.44,21.69,281.15,93,100,1,RO,1602905812
446,rozavlea,47.73,24.22,283.15,100,100,1,RO,1602905813
447,scorteni,45.1,25.85,283.15,80,100,1.16,RO,1602905813
448,sirna,44.8,25.95,287.15,100,40,2.6,RO,1602905813
449,stefanestii de jos,44.53,26.2,288.15,100,40,1.5,RO,1602905813
450,tamasi,46.63,18.28,279.82,88,100,3.58,HU,1602905814
451,tiganasi,47.33,27.47,285.93,98,100,4.02,RO,1602905814
452,turt,47.98,23.22,284.26,93,100,3.6,RO,1602905814
453,victoria,22.29,114.16,300.93,61,37,4.02,HK,1602905815
454,vurpar,46,23.47,284.15,93,91,1.5,RO,1602905815
455,brus,43.38,21.03,284.15,100,90,1.5,RS,1602905815
456,ljig,44.23,20.24,284.15,100,90,1.5,RS,1602905816
457,sevojno,43.84,19.9,279.15,100,66,0.5,RS,1602905816
458,adamovka,51.52,59.94,285.53,41,100,8.92,RU,1602905816
459,alleroy,43.21,46.28,281.15,87,0,1,RU,1602905817
460,arya,33.6,73.07,294.15,52,0,3.1,PK,1602905817
461,bammatyurt,43.34,46.61,288.05,58,0,1.94,RU,1602905817
462,beloyarsk,53.45,83.9,282.15,49,67,7,RU,1602905817
463,bogatoye,53.06,51.33,281.86,72,85,6.57,RU,1602905817
464,borisovka,50.62,35.99,284.15,81,75,4,RU,1602905818
465,chaykovskiy,56.77,54.11,273.15,91,95,2.24,RU,1602905818
466,chita,52.03,113.55,275.15,40,40,6,RU,1602905818
467,dobroye,52.87,39.81,277.15,86,90,3,RU,1602905818
468,dzerzhinskiy,55.63,37.85,276.15,100,75,1,RU,1602905818
469,gavrilov posad,56.56,40.12,272.87,98,0,2.68,RU,1602905819
470,gorodets,56.65,43.48,272.15,100,75,5,RU,1602905819
471,ilinskiy,55.62,38.12,276.15,100,75,1,RU,1602905819
472,ivot,53.68,34.19,278.15,93,75,2,RU,1602905819
473,kamenskiy,50.89,45.49,281.41,90,74,3.12,RU,1602905819
474,kaspiysk,42.88,47.64,284.15,81,40,2,RU,1602905820
475,khiv,41.75,47.93,288.71,34,0,2.26,RU,1602905820
476,kirovsk,48.64,38.64,285.61,84,73,1.07,UA,1602905820
477,kommunarka,55.57,37.49,275.37,93,75,3,RU,1602905820
478,kotelniki,55.64,37.84,275.37,100,75,1,RU,1602905820
479,krasnoselskiy,45.39,40.6,288.59,71,0,1.35,RU,1602905821
480,krutaya gorka,55.36,73.22,282.15,49,40,2,RU,1602905821
481,lermontovka,47.15,134.34,282.11,52,42,5.81,RU,1602905821
482,lugovaya,56.05,37.48,274.15,86,75,3,RU,1602905821
483,mama,58.31,112.9,270.74,91,100,6.27,RU,1602905822
484,meshchovsk,54.32,35.28,274.03,92,0,2.66,RU,1602905822
485,morki,56.43,48.99,274.05,91,0,3.88,RU,1602905822
486,naryan-mar,67.67,53.09,272.19,95,99,3.44,RU,1602905822
487,niny,44.49,43.95,287.68,65,0,0.94,RU,1602905822
488,novocheboksarsk,56.11,47.48,274.15,91,40,4,RU,1602905823
489,novoukrainskoye,45.38,40.53,288.51,72,0,1.3,RU,1602905823
490,oktyabrskiy,54.48,53.47,280.07,74,99,7.56,RU,1602905823
491,ostrovskoye,57.81,42.24,272.64,98,25,2.54,RU,1602905823
492,peremyshl,54.26,36.16,275.15,90,0,1,RU,1602905824
493,pirovskoye,57.63,92.27,279.41,82,100,6.34,RU,1602905824
494,poplevinskiy,53.68,39.54,274.82,91,0,2.42,RU,1602905824
495,proletarskiy,50.79,35.77,284.15,81,75,4,RU,1602905824
496,redkino,56.65,36.3,272.84,97,0,1.39,RU,1602905824
497,ryzdvyanyy,45.27,41.84,288.15,67,0,0.93,RU,1602905825
498,sedkyrkeshch,61.75,50.92,273.15,98,75,3,RU,1602905825
499,shalushka,43.53,43.57,286.15,58,0,2,RU,1602905825
500,shugurovo,54.51,52.13,278.51,74,100,7.73,RU,1602905825
501,sokolskoye,57.14,43.16,274.93,87,12,4.68,RU,1602905825
502,spassk-ryazanskiy,54.41,40.38,274.82,91,0,1.33,RU,1602905826
503,sterlitamak,53.62,55.95,285.73,73,98,6.71,RU,1602905826
504,svobodnyy,51.4,128.13,279.37,66,76,5.14,RU,1602905826
505,teeli,51.03,90.23,278.03,61,71,0.51,RU,1602905826
506,troitskaya,43.31,44.98,279.15,93,0,3,RU,1602905826
507,tynda,55.17,124.72,268.59,92,100,4.32,RU,1602905629
508,urman,54.88,56.87,282.54,82,100,7.01,RU,1602905827
509,uzhur,55.3,89.83,282.97,59,100,7.21,RU,1602905827
510,verkhniy ufaley,56.06,60.23,280.94,91,100,5.36,RU,1602905827
511,volgorechensk,57.44,41.16,275.15,80,90,5,RU,1602905827
512,yekimovichi,54.11,33.3,274.54,90,0,2.54,RU,1602905828
513,yuzhnyy,53.25,83.69,282.15,49,78,7,RU,1602905828
514,zemlyansk,51.9,38.73,279.15,93,90,4,RU,1602905828
515,byumba,-1.58,30.07,291.15,82,40,2.1,RW,1602905828
516,norrtalje,59.76,18.7,280.37,86,0,0.89,SE,1602905829
517,kocevje,45.64,14.86,284.26,81,20,1.5,SI,1602905829
518,velenje,46.36,15.11,280.93,97,95,0.81,SI,1602905829
519,poltar,48.43,19.79,280.93,100,90,1,SK,1602905829
520,gberia fotombu,9.88,-11.17,293.91,96,100,0.66,SL,1602905830
521,kaffrine,14.11,-15.55,301.15,88,20,3.1,SN,1602905830
522,onverwacht,5.58,-55.18,300.37,88,0,1.79,SR,1602905830
523,san alejo,13.43,-87.96,296.24,96,93,0.39,SV,1602905830
524,adre,13.47,22.2,296.51,21,68,4.15,TD,1602905830
525,bang pakong,13.54,100.99,303.15,88,75,6.2,TH,1602905831
526,kui buri,12.08,99.85,300.15,88,20,0.5,TH,1602905831
527,phitsanulok,16.92,100.5,303.15,100,40,2.1,TH,1602905831
528,tha rua,14.56,100.72,298.71,95,100,0.45,TH,1602905831
529,tursunzoda,38.51,68.23,282.15,70,0,1,TJ,1602905831
530,canta,41.12,28.08,289.15,87,99,1.5,TR,1602905832
531,iskilip,40.74,34.47,286.09,49,0,0.4,TR,1602905832
532,patnos,39.23,42.86,282.22,50,0,0.58,TR,1602905832
533,penal,10.17,-61.47,299.26,90,58,4.27,TT,1602905832
534,tainan,22.99,120.21,303.15,62,75,1,TW,1602905821
535,itumba,-9.4,33.18,288.98,87,9,1.9,TZ,1602905833
536,mahanje,-9.93,35.33,291.4,82,37,0.87,TZ,1602905833
537,mwanga,-4.8,38.2,294.48,63,7,1.25,TZ,1602905794
538,usoke,-5.17,32.35,291.7,64,18,2.9,TZ,1602905833
539,bolhrad,45.68,28.61,287.15,100,100,2.1,UA,1602905834
540,dovbysh,50.37,27.99,280.86,91,100,4.49,UA,1602905834
541,kalush,49.01,24.37,281.48,95,100,0.36,UA,1602905834
542,krasnodon,48.29,39.74,285.67,79,29,1.26,UA,1602905834
543,makoshyne,51.46,32.34,282.12,86,100,3.94,UA,1602905834
544,novomyrhorod,48.78,31.64,287.38,94,100,3.3,UA,1602905835
545,pidhaytsi,49.27,25.13,284.82,92,100,2.68,UA,1602905835
546,sarny,51.34,26.6,280.43,86,100,4.01,UA,1602905835
547,stebnyk,49.29,23.56,281.15,93,90,3,UA,1602905835
548,velyka oleksandrivka,47.32,33.3,289.59,93,95,4.97,UA,1602905836
549,kisoro,-1.29,29.68,286.41,91,94,1.37,UG,1602905836
550,madison,34.73,-86.57,280.93,75,1,2.32,US,1602905836
551,mesa,33.42,-111.82,305.15,12,1,1.5,US,1602905622
552,altadena,34.19,-118.13,300.37,17,0,0.89,US,1602905837
553,coalinga,36.14,-120.36,297.59,43,47,1.11,US,1602905837
554,grass valley,39.22,-121.06,295.15,21,1,2.1,US,1602905837
555,madera,37.17,-119.83,295.93,43,3,2.29,US,1602905837
556,placentia,45.05,9.7,282.04,82,35,1.45,IT,1602905837
557,santa rosa,14.31,121.11,302.59,79,75,3.6,PH,1602905838
558,windsor,42.3,-83.02,282.15,64,1,2.6,CA,1602905655
559,coventry,52.41,-1.51,282.15,81,75,3.1,GB,1602905838
560,new castle,41,-80.35,275.93,80,1,1.51,US,1602905838
561,forest city,28.67,-81.44,297.59,95,100,2.04,US,1602905753
562,miami beach,25.79,-80.13,297.15,88,90,5.12,US,1602905644
563,saint petersburg,59.89,30.26,274.15,86,86,1.9,RU,1602905839
564,centerville,39.63,-84.16,278.71,56,1,3.1,US,1602905801
565,thomasville,35.88,-80.08,285.37,82,93,2.57,US,1602905839
566,beach park,42.42,-87.86,281.15,52,20,2.6,US,1602905839
567,godfrey,38.96,-90.19,278.71,65,1,1.3,US,1602905840
568,palatine,42.11,-88.03,280.37,60,35,1.5,US,1602905835
569,bloomington,44.84,-93.3,277.04,51,40,2.1,US,1602905617
570,washington,47.5,-120.5,289.82,68,32,0.9,US,1602905840
571,newton,42.34,-71.21,284.82,100,98,4.6,US,1602905606
572,jefferson,38.18,-85.65,281.15,49,20,2.1,US,1602905841
573,old orchard beach,43.52,-70.38,285.37,100,90,3.6,US,1602905725
574,glen burnie,39.16,-76.62,284.82,76,90,1.5,US,1602905841
575,bedford,52.13,-0.47,282.59,90,75,0.89,GB,1602905665
576,mansfield,53.13,-1.2,281.48,91,54,2.37,GB,1602905841
577,walpole,42.14,-71.25,283.71,100,96,4.6,US,1602905628
578,hazel park,42.46,-83.1,280.15,45,1,3.53,US,1602905842
579,blaine,45.16,-93.23,274.15,74,1,2.73,US,1602905842
580,saint peter,13.25,-59.62,300.15,83,20,5.7,BB,1602905842
581,creve coeur,38.66,-90.42,281.15,49,40,1.57,US,1602905822
582,great falls,47.5,-111.3,279.15,75,90,10.8,US,1602905843
583,farmington,36.73,-108.22,288.15,10,1,2.6,US,1602905843
584,bound brook,40.57,-74.54,283.15,86,100,0.45,US,1602905843
585,marlton,39.89,-74.92,284.26,93,90,2.1,US,1602905794
586,wanaque,41.04,-74.29,282.59,95,100,2.85,US,1602905646
587,cheektowaga,42.9,-78.75,277.59,69,40,3.1,US,1602905631
588,mastic,40.8,-72.84,285.15,87,90,4.1,US,1602905844
589,syosset,40.83,-73.5,284.15,81,90,3.1,US,1602905844
590,morganton,35.75,-81.68,282.59,87,1,1.94,US,1602905571
591,chillicothe,39.33,-82.98,276.48,69,1,1.5,US,1602905845
592,newark,40.74,-74.17,284.15,93,90,5.1,US,1602905821
593,willowick,41.63,-81.47,278.15,65,1,1.5,US,1602905845
594,hayesville,44.99,-122.98,289.26,77,1,2.6,US,1602905796
595,hermitage,41.23,-80.45,276.15,74,20,1.79,US,1602905845
596,ciales,18.34,-66.47,298.71,92,85,0.89,PR,1602905846
597,jamestown,42.1,-79.24,275.15,64,1,1.35,US,1602905712
598,madison,34.73,-86.57,280.93,75,1,2.32,US,1602905836
599,abilene,32.45,-99.73,285.15,46,1,3.6,US,1602905846
600,ennis,52.84,-8.99,280.37,87,40,3.6,IE,1602905846
601,mercedes,-34.65,-59.43,292.59,81,0,1.79,AR,1602905711
602,the woodlands,30.16,-95.49,287.04,93,1,3.89,US,1602905742
603,bennington,42.88,-73.2,281.15,87,90,2.24,US,1602905847
604,manassas park,38.78,-77.47,284.15,71,90,2.6,US,1602905847
605,lake forest park,47.76,-122.28,288.71,93,90,2.6,US,1602905550
606,weirton,40.42,-80.59,277.15,69,1,0.77,US,1602905737
607,sturgeon bay,44.83,-87.38,276.15,86,75,4.6,US,1602905848
608,aktash,50.3,87.73,272.14,80,43,1.82,RU,1602905680
609,bachaquero,9.97,-71.15,299.79,83,27,1.63,VE,1602905848
610,san felipe,10.34,-68.74,295.46,85,43,1.85,VE,1602905849
611,tam ky,15.57,108.48,300.15,94,90,4.6,VN,1602905849
612,ekangala,-25.7,28.75,289.15,82,0,1.5,ZA,1602905849
613,phalaborwa,-23.94,31.14,290.15,93,80,2.1,ZA,1602905850
614,willowmore,-33.29,23.49,289,53,74,1.36,ZA,1602905649
615,siavonga,-16.54,28.71,296.8,44,0,1.97,ZM,1602905850
